"1. Collettivo indagato"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Guadagno mensile netto (medie, in euro) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"1162";"538";"*";"1194";"1470";"*";"*";"-";"*";"1126";"*";"*";"1104";"813";"*";"*";"913";"*";"1226"
"Donne";"776";"600";"*";"933";"555";"*";"*";"959";"*";"-";"*";"*";"200";"976";"*";"*";"769";"*";"1001"
"Totale";"1025";"579";"*";"1092";"1165";"*";"*";"959";"*";"1126";"*";"*";"1018";"903";"*";"*";"817";"*";"1161"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Ha notato un miglioramento nel proprio lavoro dovuto alla laurea (%) ";"39,6";"-";"*";"16,7";"33,3";"*";"*";"-";"*";"100,0";"*";"*";"60,0";"25,0";"*";"*";"33,3";"*";"50,0"
"Tipo di miglioramento notato nel lavoro (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Dal punto di vista economico";"10,5";"-";"*";"-";"-";"*";"*";"-";"*";"100,0";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Nella posizione lavorativa";"21,1";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"16,7";"100,0";"*";"*";"-";"*";"-"
"Nelle mansioni svolte";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Nelle competenze professionali";"68,4";"-";"*";"100,0";"100,0";"*";"*";"-";"*";"-";"*";"*";"83,3";"-";"*";"*";"100,0";"*";"100,0"
"Sotto altri punti di vista";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In misura elevata";"39,6";"16,7";"*";"36,8";"26,7";"*";"*";"25,0";"*";"50,0";"*";"*";"63,6";"44,4";"*";"*";"50,0";"*";"25,0"
"In misura ridotta";"35,8";"-";"*";"42,1";"40,0";"*";"*";"25,0";"*";"50,0";"*";"*";"27,3";"33,3";"*";"*";"33,3";"*";"62,5"
"Per niente";"24,5";"83,3";"*";"21,1";"33,3";"*";"*";"50,0";"*";"-";"*";"*";"9,1";"22,2";"*";"*";"16,7";"*";"12,5"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Molto adeguata";"42,5";"33,3";"*";"47,4";"33,3";"*";"*";"25,0";"*";"75,0";"*";"*";"36,4";"44,4";"*";"*";"83,3";"*";"50,0"
"Poco adeguata";"34,9";"-";"*";"36,8";"33,3";"*";"*";"25,0";"*";"25,0";"*";"*";"54,5";"33,3";"*";"*";"-";"*";"37,5"
"Per niente adeguata";"22,6";"66,7";"*";"15,8";"33,3";"*";"*";"50,0";"*";"-";"*";"*";"9,1";"22,2";"*";"*";"16,7";"*";"12,5"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Richiesta per legge";"7,5";"-";"*";"15,8";"6,7";"*";"*";"-";"*";"-";"*";"*";"4,5";"-";"*";"*";"16,7";"*";"12,5"
"Non richiesta ma necessaria";"13,2";"-";"*";"5,3";"20,0";"*";"*";"25,0";"*";"50,0";"*";"*";"9,1";"33,3";"*";"*";"-";"*";"12,5"
"Non richiesta ma utile";"59,4";"50,0";"*";"73,7";"40,0";"*";"*";"50,0";"*";"50,0";"*";"*";"72,7";"44,4";"*";"*";"66,7";"*";"62,5"
"Non richiesta né utile";"19,8";"50,0";"*";"5,3";"33,3";"*";"*";"25,0";"*";"-";"*";"*";"13,6";"22,2";"*";"*";"16,7";"*";"12,5"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Molto efficace/Efficace";"41,9";"16,7";"*";"42,1";"26,7";"*";"*";"25,0";"*";"50,0";"*";"*";"61,9";"44,4";"*";"*";"50,0";"*";"37,5"
"Abbastanza efficace";"32,4";"-";"*";"36,8";"33,3";"*";"*";"25,0";"*";"50,0";"*";"*";"28,6";"33,3";"*";"*";"33,3";"*";"50,0"
"Poco/Per nulla efficace";"25,7";"83,3";"*";"21,1";"40,0";"*";"*";"50,0";"*";"-";"*";"*";"9,5";"22,2";"*";"*";"16,7";"*";"12,5"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,5";"5,3";"*";"7,9";"7,2";"*";"*";"7,5";"*";"8,0";"*";"*";"8,0";"7,9";"*";"*";"8,8";"*";"7,4"
"Occupati che cercano lavoro (%)";"34,0";"66,7";"*";"36,8";"20,0";"*";"*";"25,0";"*";"25,0";"*";"*";"27,3";"33,3";"*";"*";"16,7";"*";"75,0"
"10. Ricerca del lavoro"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Ultimi 15 giorni";"50,0";"40,0";"*";"66,7";"33,3";"*";"*";"100,0";"*";"83,3";"*";"*";"40,0";"40,0";"*";"*";"66,7";"*";"66,7"
"15-30 giorni fa";"22,9";"20,0";"*";"-";"33,3";"*";"*";"-";"*";"-";"*";"*";"30,0";"20,0";"*";"*";"-";"*";"33,3"
"1-6 mesi fa";"18,8";"40,0";"*";"33,3";"33,3";"*";"*";"-";"*";"-";"*";"*";"20,0";"20,0";"*";"*";"-";"*";"-"
"Oltre 6 mesi fa";"6,3";"-";"*";"-";"-";"*";"*";"-";"*";"16,7";"*";"*";"10,0";"-";"*";"*";"33,3";"*";"-"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Studio";"95,9";"100,0";"*";"100,0";"95,0";"*";"*";"100,0";"*";"100,0";"*";"*";"100,0";"94,1";"*";"*";"66,7";"*";"-"
"In attesa di chiamata dal datore di lavoro ";"2,1";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"5,9";"*";"*";"33,3";"*";"-"
"Motivi personali";"2,1";"-";"*";"-";"5,0";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"100,0"
"Mancanza di opportunità lavorative";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Altro motivo";"-";"-";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
