"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"decisamente sì";"18,3";"20,0";"*";"34,9";"*";"*";"17,8";"13,0";"15,9";"28,6";"13,8";"-";"20,4";"*";"12,5";"12,9";"*";"*";"40,0";"17,5";"28,6";"*"
"più sì che no";"67,4";"65,0";"*";"62,8";"*";"*";"75,2";"69,6";"66,7";"71,4";"60,7";"87,5";"64,9";"*";"62,5";"73,7";"*";"*";"60,0";"68,9";"57,1";"*"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"40,1";"35,6";"*";"57,0";"*";"*";"36,0";"52,2";"39,5";"28,6";"33,1";"25,0";"43,1";"*";"37,5";"40,7";"*";"*";"40,0";"39,8";"42,9";"*"
"più sì che no";"46,2";"52,5";"*";"36,0";"*";"*";"50,5";"34,8";"46,6";"28,6";"49,0";"75,0";"41,9";"*";"50,0";"48,8";"*";"*";"40,0";"43,7";"28,6";"*"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"19,2";"13,1";"*";"44,2";"*";"*";"24,8";"13,0";"20,7";"28,6";"7,6";"12,5";"8,3";"*";"25,0";"34,4";"*";"*";"60,0";"15,5";"-";"*"
"spesso adeguate";"53,7";"54,4";"*";"46,5";"*";"*";"53,7";"56,5";"51,8";"57,1";"54,5";"75,0";"56,6";"*";"75,0";"49,8";"*";"*";"20,0";"56,3";"71,4";"*"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"48,0";"42,5";"*";"55,8";"*";"*";"45,3";"26,1";"54,0";"28,6";"37,9";"37,5";"42,2";"*";"37,5";"71,8";"*";"*";"40,0";"31,1";"85,7";"*"
"erano presenti, ma in numero inadeguato";"35,3";"37,5";"*";"29,1";"*";"*";"48,1";"43,5";"36,6";"28,6";"31,7";"50,0";"34,2";"*";"50,0";"25,4";"*";"*";"40,0";"31,1";"14,3";"*"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"44,9";"42,5";"*";"52,3";"*";"*";"47,2";"39,1";"50,2";"71,4";"37,9";"50,0";"47,8";"*";"25,0";"36,4";"*";"*";"20,0";"42,7";"42,9";"*"
"abbastanza positiva";"46,7";"48,8";"*";"40,7";"*";"*";"47,2";"52,2";"42,1";"28,6";"51,0";"37,5";"45,1";"*";"50,0";"50,7";"*";"*";"80,0";"50,5";"42,9";"*"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"31,1";"26,3";"*";"39,5";"*";"*";"36,4";"26,1";"30,4";"57,1";"28,3";"-";"31,9";"*";"37,5";"26,8";"*";"*";"60,0";"34,0";"-";"*"
"abbastanza adeguato";"43,6";"44,4";"*";"31,4";"*";"*";"40,2";"43,5";"42,7";"14,3";"47,6";"62,5";"46,0";"*";"37,5";"47,8";"*";"*";"-";"43,7";"85,7";"*"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"68,4";"63,1";"*";"73,3";"*";"*";"66,4";"39,1";"59,9";"71,4";"75,2";"37,5";"77,3";"*";"62,5";"70,3";"*";"*";"60,0";"70,9";"57,1";"*"
"sì, ma ad un altro corso dell'Ateneo";"15,7";"18,8";"*";"11,6";"*";"*";"12,6";"34,8";"20,4";"14,3";"6,2";"37,5";"13,0";"*";"25,0";"18,2";"*";"*";"-";"17,5";"28,6";"*"
"sì, allo stesso corso ma in un altro Ateneo";"4,3";"6,3";"*";"8,1";"*";"*";"4,7";"-";"1,6";"-";"11,0";"-";"2,7";"*";"12,5";"4,3";"*";"*";"-";"3,9";"-";"*"
"sì, ma ad un altro corso e in un altro Ateneo";"7,6";"8,1";"*";"3,5";"*";"*";"13,1";"8,7";"10,4";"14,3";"5,5";"25,0";"5,6";"*";"-";"4,3";"*";"*";"20,0";"3,9";"-";"*"
"non si iscriverebbero più all'università";"3,5";"2,5";"*";"3,5";"*";"*";"2,8";"17,4";"6,8";"-";"2,1";"-";"1,2";"*";"-";"2,9";"*";"*";"20,0";"3,9";"14,3";"*"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"74,3";"81,9";"*";"66,3";"*";"*";"72,9";"60,9";"70,6";"57,1";"75,9";"62,5";"77,0";"*";"75,0";"78,5";"*";"*";"20,0";"71,8";"57,1";"*"
"inglese parlato";"70,6";"80,0";"*";"60,5";"*";"*";"66,4";"69,6";"70,6";"42,9";"71,7";"37,5";"70,8";"*";"50,0";"75,6";"*";"*";"40,0";"71,8";"71,4";"*"
"francese scritto";"20,2";"28,1";"*";"14,0";"*";"*";"14,5";"13,0";"17,8";"42,9";"21,4";"12,5";"21,8";"*";"25,0";"24,4";"*";"*";"20,0";"17,5";"-";"*"
"francese parlato";"19,7";"28,8";"*";"11,6";"*";"*";"17,8";"13,0";"18,8";"28,6";"17,2";"-";"20,9";"*";"25,0";"23,9";"*";"*";"20,0";"13,6";"-";"*"
"spagnolo scritto";"16,6";"31,3";"*";"12,8";"*";"*";"16,8";"4,3";"14,6";"-";"12,4";"-";"9,1";"*";"-";"32,5";"*";"*";"-";"8,7";"-";"*"
"spagnolo parlato";"16,9";"30,0";"*";"12,8";"*";"*";"17,8";"4,3";"15,2";"14,3";"13,1";"-";"10,6";"*";"-";"32,1";"*";"*";"-";"4,9";"-";"*"
"tedesco scritto";"4,0";"5,0";"*";"5,8";"*";"*";"2,8";"17,4";"3,2";"-";"7,6";"-";"3,8";"*";"-";"3,3";"*";"*";"-";"1,9";"-";"*"
"tedesco parlato";"4,2";"5,6";"*";"4,7";"*";"*";"3,3";"13,0";"3,2";"-";"6,2";"-";"4,1";"*";"-";"4,3";"*";"*";"-";"2,9";"-";"*"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"86,9";"83,1";"*";"87,2";"*";"*";"89,3";"87,0";"92,6";"85,7";"80,7";"75,0";"82,9";"*";"100,0";"92,3";"*";"*";"60,0";"85,4";"85,7";"*"
"word processor";"69,2";"60,0";"*";"80,2";"*";"*";"76,2";"65,2";"73,8";"42,9";"66,2";"62,5";"62,2";"*";"100,0";"74,6";"*";"*";"60,0";"62,1";"42,9";"*"
"fogli elettronici";"43,2";"33,8";"*";"54,7";"*";"*";"54,2";"47,8";"46,3";"28,6";"40,0";"37,5";"34,2";"*";"62,5";"52,2";"*";"*";"20,0";"32,0";"-";"*"
"strumenti di presentazione";"48,9";"38,1";"*";"61,6";"*";"*";"55,1";"43,5";"52,1";"-";"48,3";"25,0";"41,6";"*";"50,0";"59,3";"*";"*";"20,0";"46,6";"14,3";"*"
"sistemi operativi";"59,7";"46,9";"*";"55,8";"*";"*";"65,0";"73,9";"69,3";"28,6";"55,2";"37,5";"54,3";"*";"75,0";"67,5";"*";"*";"40,0";"53,4";"28,6";"*"
"multimedia";"38,5";"33,8";"*";"38,4";"*";"*";"33,2";"47,8";"53,7";"14,3";"33,1";"25,0";"32,4";"*";"62,5";"42,1";"*";"*";"40,0";"28,2";"42,9";"*"
"linguaggi di programmazione";"8,9";"2,5";"*";"10,5";"*";"*";"11,7";"17,4";"12,6";"14,3";"3,4";"-";"6,5";"*";"25,0";"13,9";"*";"*";"40,0";"3,9";"-";"*"
"data base";"8,7";"5,0";"*";"18,6";"*";"*";"7,9";"21,7";"13,6";"14,3";"6,2";"-";"5,0";"*";"25,0";"8,6";"*";"*";"-";"5,8";"-";"*"
"realizzazione siti web";"15,5";"6,9";"*";"10,5";"*";"*";"11,2";"17,4";"30,4";"14,3";"9,7";"12,5";"10,3";"*";"12,5";"23,4";"*";"*";"20,0";"8,7";"-";"*"
"reti di trasmissione dati";"8,6";"7,5";"*";"9,3";"*";"*";"5,1";"13,0";"14,6";"-";"5,5";"-";"6,5";"*";"-";"12,0";"*";"*";"20,0";"4,9";"-";"*"
"CAD/CAM/CAE - progettazione assistita";"6,5";"5,0";"*";"10,5";"*";"*";"10,3";"4,3";"7,8";"-";"4,1";"12,5";"4,1";"*";"-";"6,7";"*";"*";"20,0";"5,8";"-";"*"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Intendono proseguire gli studi (%)";"78,4";"86,3";"*";"86,0";"*";"*";"56,1";"39,1";"73,5";"57,1";"91,7";"25,0";"94,1";"*";"62,5";"70,3";"*";"*";"40,0";"89,3";"85,7";"*"
"altra laurea triennale";"1,3";"0,6";"*";"-";"*";"*";"0,9";"8,7";"2,3";"-";"1,4";"-";"0,9";"*";"-";"1,0";"*";"*";"-";"2,9";"-";"*"
"laurea magistrale";"56,1";"60,6";"*";"80,2";"*";"*";"16,4";"13,0";"38,5";"28,6";"77,9";"12,5";"85,5";"*";"12,5";"48,8";"*";"*";"20,0";"74,8";"57,1";"*"
"dottorato di ricerca";"-";"-";"*";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*";"-";"-";"*";"*";"-";"-";"-";"*"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"1,1";"0,6";"*";"1,2";"*";"*";"0,5";"4,3";"3,6";"-";"-";"-";"0,6";"*";"-";"-";"*";"*";"-";"1,0";"-";"*"
"scuola di specializzazione post-laurea";"2,7";"2,5";"*";"1,2";"*";"*";"5,1";"-";"4,5";"-";"-";"-";"1,5";"*";"12,5";"3,3";"*";"*";"-";"1,9";"-";"*"
"master universitario";"7,8";"11,3";"*";"1,2";"*";"*";"15,0";"8,7";"10,4";"-";"4,1";"-";"2,1";"*";"12,5";"11,0";"*";"*";"20,0";"3,9";"14,3";"*"
"altro tipo di master o corso di perfezionamento";"3,5";"3,1";"*";"-";"*";"*";"9,8";"-";"4,2";"14,3";"3,4";"-";"1,5";"*";"25,0";"2,4";"*";"*";"-";"1,0";"-";"*"
"tirocinio, praticantato";"1,5";"0,6";"*";"2,3";"*";"*";"3,7";"-";"1,3";"-";"1,4";"-";"0,3";"*";"-";"2,4";"*";"*";"-";"-";"-";"*"
"attività sostenuta da borsa o assegno di studio";"0,1";"-";"*";"-";"*";"*";"-";"-";"0,3";"-";"-";"-";"-";"*";"-";"-";"*";"*";"-";"-";"-";"*"
"altre attività di qualificazione professionale";"4,0";"6,3";"*";"-";"*";"*";"4,7";"4,3";"8,1";"-";"3,4";"12,5";"1,8";"*";"-";"1,4";"*";"*";"-";"3,9";"14,3";"*"
"non intendono proseguire";"21,6";"13,8";"*";"14,0";"*";"*";"43,9";"60,9";"26,5";"42,9";"8,3";"75,0";"5,6";"*";"37,5";"29,7";"*";"*";"60,0";"10,7";"14,3";"*"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"10,4";"5,0";"*";"10,5";"*";"*";"31,3";"-";"6,8";"-";"5,5";"-";"6,2";"*";"25,0";"13,4";"*";"*";"-";"2,9";"-";"*"
"amministrazione, contabilità";"4,4";"1,3";"*";"9,3";"*";"*";"1,4";"8,7";"4,5";"-";"4,8";"12,5";"2,9";"*";"12,5";"6,2";"*";"*";"-";"9,7";"-";"*"
"assistenza tecnica";"2,4";"1,3";"*";"8,1";"*";"*";"1,4";"4,3";"4,2";"14,3";"0,7";"12,5";"1,2";"*";"-";"1,0";"*";"*";"-";"2,9";"-";"*"
"commerciale, vendite";"14,8";"5,6";"*";"15,1";"*";"*";"35,5";"4,3";"9,7";"14,3";"9,7";"25,0";"9,7";"*";"25,0";"23,9";"*";"*";"-";"7,8";"-";"*"
"controllo di gestione";"5,6";"2,5";"*";"9,3";"*";"*";"4,2";"4,3";"4,9";"-";"11,0";"12,5";"2,9";"*";"12,5";"7,7";"*";"*";"20,0";"6,8";"-";"*"
"finanza";"2,0";"1,3";"*";"4,7";"*";"*";"1,4";"4,3";"1,6";"-";"4,8";"-";"2,1";"*";"-";"1,4";"*";"*";"-";"-";"-";"*"
"legale";"2,6";"1,3";"*";"3,5";"*";"*";"1,9";"4,3";"1,9";"-";"5,5";"12,5";"2,1";"*";"-";"3,8";"*";"*";"-";"1,0";"-";"*"
"logistica, distribuzione";"7,3";"3,8";"*";"9,3";"*";"*";"13,6";"-";"8,7";"-";"4,8";"-";"3,8";"*";"12,5";"9,6";"*";"*";"-";"6,8";"-";"*"
"marketing, comunicazione, pubbliche relazioni";"40,4";"16,3";"*";"24,4";"*";"*";"59,3";"39,1";"38,2";"28,6";"22,8";"25,0";"32,2";"*";"62,5";"83,3";"*";"*";"40,0";"24,3";"28,6";"*"
"organizzazione, pianificazione";"34,5";"20,0";"*";"23,3";"*";"*";"52,3";"39,1";"32,0";"14,3";"29,0";"25,0";"26,8";"*";"25,0";"57,4";"*";"*";"20,0";"25,2";"-";"*"
"produzione";"15,8";"9,4";"*";"12,8";"*";"*";"26,6";"21,7";"26,5";"14,3";"10,3";"-";"8,8";"*";"12,5";"14,8";"*";"*";"-";"5,8";"28,6";"*"
"ricerca e sviluppo";"28,0";"36,3";"*";"33,7";"*";"*";"29,0";"17,4";"23,3";"57,1";"32,4";"-";"31,6";"*";"12,5";"18,2";"*";"*";"-";"30,1";"42,9";"*"
"risorse umane, selezione, formazione";"35,7";"43,8";"*";"24,4";"*";"*";"19,6";"34,8";"30,7";"42,9";"45,5";"37,5";"40,7";"*";"37,5";"41,1";"*";"*";"60,0";"36,9";"28,6";"*"
"segreteria, affari generali";"11,2";"6,9";"*";"14,0";"*";"*";"11,2";"-";"13,6";"28,6";"11,0";"12,5";"10,0";"*";"37,5";"11,5";"*";"*";"-";"11,7";"-";"*"
"sistemi informativi, EDP";"4,3";"3,1";"*";"4,7";"*";"*";"3,3";"4,3";"4,9";"14,3";"6,2";"12,5";"4,4";"*";"-";"4,8";"*";"*";"-";"1,0";"-";"*"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"66,3";"54,4";"*";"69,8";"*";"*";"75,2";"56,5";"67,3";"85,7";"59,3";"62,5";"65,8";"*";"75,0";"74,2";"*";"*";"60,0";"56,3";"42,9";"*"
"possibilità di carriera";"50,5";"29,4";"*";"43,0";"*";"*";"73,4";"56,5";"53,4";"42,9";"40,7";"12,5";"41,9";"*";"62,5";"65,6";"*";"*";"60,0";"45,6";"28,6";"*"
"possibilità di guadagno";"45,9";"35,0";"*";"47,7";"*";"*";"53,7";"56,5";"48,5";"57,1";"36,6";"50,0";"37,5";"*";"62,5";"62,7";"*";"*";"40,0";"35,9";"42,9";"*"
"stabilità/sicurezza del posto di lavoro";"55,1";"40,6";"*";"66,3";"*";"*";"65,0";"60,9";"50,5";"57,1";"44,8";"62,5";"54,0";"*";"62,5";"65,6";"*";"*";"60,0";"54,4";"42,9";"*"
"rispondenza a interessi culturali";"62,2";"65,6";"*";"73,3";"*";"*";"57,5";"52,2";"64,7";"71,4";"71,0";"50,0";"69,0";"*";"37,5";"41,6";"*";"*";"80,0";"59,2";"85,7";"*"
"coerenza con gli studi";"47,6";"38,8";"*";"62,8";"*";"*";"51,9";"34,8";"53,7";"28,6";"42,8";"25,0";"52,5";"*";"12,5";"36,8";"*";"*";"40,0";"45,6";"71,4";"*"
"utilità sociale del lavoro";"38,2";"61,3";"*";"33,7";"*";"*";"23,4";"39,1";"35,9";"42,9";"49,7";"12,5";"43,4";"*";"12,5";"26,8";"*";"*";"60,0";"36,9";"42,9";"*"
"prestigio che ricevi dal lavoro";"24,6";"14,4";"*";"26,7";"*";"*";"33,2";"30,4";"25,6";"14,3";"21,4";"12,5";"20,4";"*";"12,5";"29,2";"*";"*";"60,0";"26,2";"14,3";"*"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"38,7";"38,8";"*";"33,7";"*";"*";"49,5";"30,4";"35,9";"42,9";"36,6";"50,0";"34,8";"*";"50,0";"44,0";"*";"*";"60,0";"33,0";"28,6";"*"
"indipendenza o autonomia";"53,7";"55,0";"*";"51,2";"*";"*";"63,6";"56,5";"56,6";"57,1";"58,6";"62,5";"47,2";"*";"62,5";"47,4";"*";"*";"80,0";"49,5";"28,6";"*"
"flessibilità dell’orario di lavoro";"25,5";"26,9";"*";"22,1";"*";"*";"31,3";"30,4";"28,5";"42,9";"26,9";"12,5";"20,9";"*";"12,5";"24,9";"*";"*";"60,0";"15,5";"28,6";"*"
"rapporti con i colleghi sul luogo di lavoro";"40,8";"43,1";"*";"40,7";"*";"*";"43,0";"47,8";"42,1";"42,9";"37,9";"25,0";"38,6";"*";"50,0";"44,0";"*";"*";"40,0";"32,0";"28,6";"*"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"29,3";"31,9";"*";"27,9";"*";"*";"30,8";"43,5";"30,7";"28,6";"26,2";"37,5";"26,3";"*";"25,0";"31,1";"*";"*";"40,0";"21,4";"42,9";"*"
"tempo libero";"31,6";"37,5";"*";"25,6";"*";"*";"31,3";"34,8";"34,3";"14,3";"39,3";"25,0";"28,3";"*";"25,0";"30,6";"*";"*";"60,0";"26,2";"14,3";"*"
"opportunità di contatti con l'estero";"39,2";"40,6";"*";"33,7";"*";"*";"43,5";"30,4";"40,8";"-";"37,9";"12,5";"37,5";"*";"12,5";"43,1";"*";"*";"40,0";"38,8";"57,1";"*"
"possibilità di utilizzare al meglio le competenze acquisite";"48,3";"45,0";"*";"50,0";"*";"*";"50,5";"39,1";"48,5";"42,9";"48,3";"25,0";"57,2";"*";"12,5";"37,3";"*";"*";"60,0";"48,5";"71,4";"*"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"40,1";"36,3";"*";"48,8";"*";"*";"30,8";"30,4";"33,0";"42,9";"43,4";"37,5";"53,4";"*";"25,0";"31,1";"*";"*";"20,0";"56,3";"28,6";"*"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"41,2";"25,6";"*";"36,0";"*";"*";"50,5";"30,4";"43,0";"28,6";"33,8";"62,5";"44,0";"*";"75,0";"46,4";"*";"*";"20,0";"36,9";"28,6";"*"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"77,2";"68,8";"*";"81,4";"*";"*";"86,9";"65,2";"69,9";"42,9";"70,3";"100,0";"81,7";"*";"87,5";"75,6";"*";"*";"100,0";"84,5";"100,0";"*"
"part-time";"56,4";"66,9";"*";"58,1";"*";"*";"56,5";"73,9";"56,0";"28,6";"46,9";"62,5";"57,8";"*";"50,0";"53,6";"*";"*";"20,0";"52,4";"85,7";"*"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"83,3";"74,4";"*";"88,4";"*";"*";"88,3";"87,0";"79,6";"71,4";"77,2";"87,5";"85,5";"*";"87,5";"86,1";"*";"*";"60,0";"91,3";"57,1";"*"
"tempo determinato";"39,6";"45,0";"*";"40,7";"*";"*";"45,8";"43,5";"41,1";"14,3";"34,5";"25,0";"38,1";"*";"25,0";"35,9";"*";"*";"20,0";"36,9";"42,9";"*"
"collaborazione (compreso lavoro a progetto)";"28,3";"32,5";"*";"29,1";"*";"*";"26,6";"17,4";"33,3";"-";"26,9";"25,0";"27,4";"*";"-";"26,3";"*";"*";"-";"25,2";"57,1";"*"
"inserimento (ex formazione e lavoro)";"24,9";"28,8";"*";"26,7";"*";"*";"25,2";"30,4";"27,8";"-";"20,7";"25,0";"24,5";"*";"12,5";"22,5";"*";"*";"-";"23,3";"28,6";"*"
"stage";"23,2";"25,6";"*";"23,3";"*";"*";"23,4";"21,7";"28,2";"-";"20,7";"12,5";"22,1";"*";"-";"22,0";"*";"*";"20,0";"19,4";"28,6";"*"
"apprendistato";"21,4";"23,8";"*";"24,4";"*";"*";"21,5";"17,4";"23,6";"14,3";"22,1";"50,0";"20,6";"*";"-";"16,7";"*";"*";"-";"18,4";"57,1";"*"
"lavoro interinale";"15,7";"19,4";"*";"14,0";"*";"*";"14,0";"13,0";"17,8";"-";"17,2";"12,5";"15,3";"*";"-";"14,8";"*";"*";"-";"11,7";"42,9";"*"
"telelavoro";"11,5";"8,1";"*";"16,3";"*";"*";"7,0";"17,4";"15,2";"14,3";"11,0";"12,5";"11,5";"*";"-";"11,5";"*";"*";"-";"8,7";"14,3";"*"
"autonomo/in conto proprio";"39,2";"43,8";"*";"36,0";"*";"*";"35,5";"39,1";"47,6";"-";"34,5";"50,0";"37,2";"*";"25,0";"34,4";"*";"*";"60,0";"40,8";"42,9";"*"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"57,4";"47,5";"*";"76,7";"*";"*";"59,3";"47,8";"44,0";"85,7";"50,3";"87,5";"64,3";"*";"87,5";"55,5";"*";"*";"60,0";"74,8";"85,7";"*"
"provincia degli studi";"50,9";"36,9";"*";"61,6";"*";"*";"47,7";"30,4";"47,6";"42,9";"51,0";"37,5";"60,8";"*";"50,0";"45,9";"*";"*";"60,0";"66,0";"42,9";"*"
"regione degli studi";"45,0";"33,1";"*";"55,8";"*";"*";"46,3";"39,1";"43,4";"14,3";"42,1";"37,5";"52,8";"*";"50,0";"36,4";"*";"*";"60,0";"56,3";"42,9";"*"
"Italia settentrionale";"51,3";"38,8";"*";"61,6";"*";"*";"60,3";"52,2";"50,2";"28,6";"43,4";"50,0";"54,0";"*";"25,0";"47,4";"*";"*";"40,0";"64,1";"42,9";"*"
"Italia centrale";"36,8";"34,4";"*";"48,8";"*";"*";"36,9";"30,4";"39,2";"28,6";"30,3";"37,5";"37,5";"*";"62,5";"32,5";"*";"*";"40,0";"40,8";"42,9";"*"
"Italia meridionale";"23,3";"24,4";"*";"32,6";"*";"*";"21,0";"21,7";"23,9";"28,6";"24,1";"25,0";"23,0";"*";"12,5";"17,7";"*";"*";"20,0";"27,2";"42,9";"*"
"Stato europeo";"56,0";"60,6";"*";"58,1";"*";"*";"58,4";"60,9";"61,5";"71,4";"52,4";"37,5";"50,7";"*";"25,0";"54,1";"*";"*";"100,0";"56,3";"57,1";"*"
"Stato extraeuropeo";"45,0";"55,6";"*";"41,9";"*";"*";"53,7";"52,2";"50,5";"42,9";"41,4";"25,0";"33,6";"*";"12,5";"44,5";"*";"*";"100,0";"43,7";"57,1";"*"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"52,7";"60,0";"*";"45,3";"*";"*";"58,4";"52,2";"53,1";"42,9";"51,0";"37,5";"51,3";"*";"25,0";"49,8";"*";"*";"80,0";"53,4";"57,1";"*"
"sì, anche frequenti (senza cambi di residenza)";"27,7";"23,1";"*";"34,9";"*";"*";"27,1";"8,7";"25,9";"42,9";"24,8";"37,5";"31,6";"*";"50,0";"26,3";"*";"*";"-";"30,1";"28,6";"*"
"sì, ma solo in numero limitato";"14,8";"10,6";"*";"15,1";"*";"*";"10,7";"21,7";"15,5";"14,3";"18,6";"25,0";"14,5";"*";"25,0";"18,7";"*";"*";"20,0";"12,6";"14,3";"*"
