"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"36,7";"*";"*";"*";"*";"*";"42,0";"*";"25,0";"35,0";"37,5";"36,9";"23,8";"20,0";"43,4";"*";"*";"*";"25,6"
"abbastanza adeguato";"45,4";"*";"*";"*";"*";"*";"42,3";"*";"31,3";"48,1";"50,0";"45,9";"38,1";"80,0";"37,4";"*";"*";"*";"62,2"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"62,3";"*";"*";"*";"*";"*";"69,0";"*";"37,5";"60,2";"50,0";"63,1";"52,4";"60,0";"66,7";"*";"*";"*";"50,0"
"sì, ma ad un altro corso dell'Ateneo";"22,7";"*";"*";"*";"*";"*";"16,8";"*";"43,8";"26,7";"12,5";"15,3";"19,0";"40,0";"24,2";"*";"*";"*";"37,8"
"sì, allo stesso corso ma in un altro Ateneo";"4,5";"*";"*";"*";"*";"*";"4,0";"*";"-";"4,4";"-";"9,9";"4,8";"-";"2,0";"*";"*";"*";"3,7"
"sì, ma ad un altro corso e in un altro Ateneo";"7,5";"*";"*";"*";"*";"*";"7,3";"*";"18,8";"6,8";"25,0";"7,2";"19,0";"-";"5,1";"*";"*";"*";"4,9"
"non si iscriverebbero più all'università";"2,3";"*";"*";"*";"*";"*";"2,6";"*";"-";"1,5";"12,5";"2,7";"4,8";"-";"1,0";"*";"*";"*";"2,4"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"80,3";"*";"*";"*";"*";"*";"93,1";"*";"75,0";"85,0";"37,5";"62,2";"71,4";"20,0";"66,7";"*";"*";"*";"84,1"
"inglese parlato";"76,8";"*";"*";"*";"*";"*";"93,1";"*";"68,8";"78,6";"62,5";"52,3";"57,1";"20,0";"64,6";"*";"*";"*";"82,9"
"francese scritto";"28,9";"*";"*";"*";"*";"*";"40,5";"*";"6,3";"35,4";"-";"12,6";"9,5";"-";"17,2";"*";"*";"*";"25,6"
"francese parlato";"29,4";"*";"*";"*";"*";"*";"39,8";"*";"12,5";"36,4";"-";"11,7";"9,5";"-";"21,2";"*";"*";"*";"25,6"
"spagnolo scritto";"23,7";"*";"*";"*";"*";"*";"30,3";"*";"31,3";"28,2";"-";"12,6";"9,5";"-";"10,1";"*";"*";"*";"29,3"
"spagnolo parlato";"24,4";"*";"*";"*";"*";"*";"30,3";"*";"37,5";"29,6";"-";"13,5";"9,5";"-";"8,1";"*";"*";"*";"31,7"
"tedesco scritto";"7,5";"*";"*";"*";"*";"*";"12,4";"*";"-";"8,3";"-";"2,7";"4,8";"-";"3,0";"*";"*";"*";"6,1"
"tedesco parlato";"6,5";"*";"*";"*";"*";"*";"11,3";"*";"-";"6,8";"-";"2,7";"4,8";"-";"1,0";"*";"*";"*";"6,1"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"87,9";"*";"*";"*";"*";"*";"92,3";"*";"100,0";"88,3";"75,0";"80,2";"100,0";"80,0";"82,8";"*";"*";"*";"86,6"
"word processor";"74,2";"*";"*";"*";"*";"*";"78,1";"*";"81,3";"76,7";"50,0";"62,2";"61,9";"60,0";"74,7";"*";"*";"*";"74,4"
"fogli elettronici";"58,3";"*";"*";"*";"*";"*";"71,5";"*";"56,3";"51,0";"25,0";"46,8";"52,4";"40,0";"61,6";"*";"*";"*";"51,2"
"strumenti di presentazione";"56,8";"*";"*";"*";"*";"*";"64,6";"*";"56,3";"54,9";"37,5";"50,5";"52,4";"20,0";"57,6";"*";"*";"*";"53,7"
"sistemi operativi";"64,0";"*";"*";"*";"*";"*";"67,2";"*";"81,3";"62,6";"50,0";"57,7";"66,7";"100,0";"63,6";"*";"*";"*";"61,0"
"multimedia";"35,5";"*";"*";"*";"*";"*";"38,0";"*";"31,3";"32,5";"25,0";"31,5";"42,9";"60,0";"41,4";"*";"*";"*";"31,7"
"linguaggi di programmazione";"7,2";"*";"*";"*";"*";"*";"7,7";"*";"12,5";"5,3";"12,5";"6,3";"4,8";"40,0";"10,1";"*";"*";"*";"6,1"
"data base";"9,0";"*";"*";"*";"*";"*";"6,9";"*";"6,3";"8,7";"25,0";"10,8";"19,0";"20,0";"10,1";"*";"*";"*";"7,3"
"realizzazione siti web";"7,0";"*";"*";"*";"*";"*";"10,2";"*";"-";"6,3";"25,0";"2,7";"-";"20,0";"6,1";"*";"*";"*";"7,3"
"reti di trasmissione dati";"8,5";"*";"*";"*";"*";"*";"9,1";"*";"-";"6,3";"25,0";"6,3";"4,8";"40,0";"11,1";"*";"*";"*";"9,8"
"CAD/CAM/CAE - progettazione assistita";"7,7";"*";"*";"*";"*";"*";"6,2";"*";"6,3";"11,2";"12,5";"9,9";"4,8";"-";"4,0";"*";"*";"*";"7,3"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Intendono proseguire gli studi (%)";"79,6";"*";"*";"*";"*";"*";"90,5";"*";"62,5";"87,9";"25,0";"50,5";"66,7";"-";"83,8";"*";"*";"*";"79,3"
"altra laurea triennale";"1,2";"*";"*";"*";"*";"*";"0,7";"*";"-";"1,5";"-";"0,9";"-";"-";"1,0";"*";"*";"*";"2,4"
"laurea magistrale";"62,0";"*";"*";"*";"*";"*";"74,1";"*";"50,0";"73,8";"-";"36,9";"42,9";"-";"61,6";"*";"*";"*";"54,9"
"dottorato di ricerca";"-";"*";"*";"*";"*";"*";"-";"*";"-";"-";"-";"-";"-";"-";"-";"*";"*";"*";"-"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"0,2";"*";"*";"*";"*";"*";"-";"*";"-";"-";"-";"-";"4,8";"-";"-";"*";"*";"*";"1,2"
"scuola di specializzazione post-laurea";"2,0";"*";"*";"*";"*";"*";"1,1";"*";"-";"0,5";"-";"3,6";"-";"-";"4,0";"*";"*";"*";"2,4"
"master universitario";"8,5";"*";"*";"*";"*";"*";"9,9";"*";"6,3";"5,8";"-";"5,4";"9,5";"-";"10,1";"*";"*";"*";"14,6"
"altro tipo di master o corso di perfezionamento";"1,7";"*";"*";"*";"*";"*";"1,5";"*";"-";"2,9";"12,5";"-";"4,8";"-";"1,0";"*";"*";"*";"-"
"tirocinio, praticantato";"1,4";"*";"*";"*";"*";"*";"1,5";"*";"-";"1,9";"-";"0,9";"-";"-";"2,0";"*";"*";"*";"-"
"attività sostenuta da borsa o assegno di studio";"0,2";"*";"*";"*";"*";"*";"-";"*";"-";"-";"-";"-";"-";"-";"1,0";"*";"*";"*";"1,2"
"altre attività di qualificazione professionale";"2,0";"*";"*";"*";"*";"*";"1,1";"*";"6,3";"1,5";"12,5";"1,8";"4,8";"-";"3,0";"*";"*";"*";"2,4"
"non intendono proseguire";"20,1";"*";"*";"*";"*";"*";"9,1";"*";"37,5";"12,1";"75,0";"49,5";"33,3";"100,0";"15,2";"*";"*";"*";"20,7"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"8,3";"*";"*";"*";"*";"*";"9,5";"*";"18,8";"5,3";"-";"10,8";"4,8";"-";"7,1";"*";"*";"*";"9,8"
"amministrazione, contabilità";"14,2";"*";"*";"*";"*";"*";"11,7";"*";"37,5";"17,0";"12,5";"5,4";"19,0";"20,0";"18,2";"*";"*";"*";"13,4"
"assistenza tecnica";"3,8";"*";"*";"*";"*";"*";"3,3";"*";"25,0";"4,9";"-";"1,8";"9,5";"-";"2,0";"*";"*";"*";"-"
"commerciale, vendite";"14,8";"*";"*";"*";"*";"*";"15,7";"*";"18,8";"17,0";"12,5";"9,0";"9,5";"20,0";"13,1";"*";"*";"*";"15,9"
"controllo di gestione";"12,4";"*";"*";"*";"*";"*";"12,0";"*";"31,3";"12,6";"12,5";"5,4";"19,0";"-";"13,1";"*";"*";"*";"13,4"
"finanza";"7,0";"*";"*";"*";"*";"*";"9,1";"*";"12,5";"5,8";"-";"3,6";"9,5";"-";"7,1";"*";"*";"*";"7,3"
"legale";"10,5";"*";"*";"*";"*";"*";"12,0";"*";"6,3";"10,7";"-";"3,6";"14,3";"-";"16,2";"*";"*";"*";"8,5"
"logistica, distribuzione";"8,4";"*";"*";"*";"*";"*";"10,2";"*";"25,0";"4,4";"25,0";"5,4";"4,8";"-";"7,1";"*";"*";"*";"11,0"
"marketing, comunicazione, pubbliche relazioni";"36,6";"*";"*";"*";"*";"*";"43,4";"*";"68,8";"38,3";"25,0";"14,4";"9,5";"60,0";"31,3";"*";"*";"*";"43,9"
"organizzazione, pianificazione";"40,6";"*";"*";"*";"*";"*";"42,7";"*";"68,8";"47,6";"37,5";"19,8";"23,8";"20,0";"32,3";"*";"*";"*";"53,7"
"produzione";"8,2";"*";"*";"*";"*";"*";"6,9";"*";"37,5";"8,3";"-";"5,4";"-";"-";"8,1";"*";"*";"*";"9,8"
"ricerca e sviluppo";"24,6";"*";"*";"*";"*";"*";"23,7";"*";"18,8";"23,8";"37,5";"20,7";"23,8";"-";"28,3";"*";"*";"*";"31,7"
"risorse umane, selezione, formazione";"37,1";"*";"*";"*";"*";"*";"25,5";"*";"68,8";"40,8";"37,5";"38,7";"38,1";"40,0";"44,4";"*";"*";"*";"41,5"
"segreteria, affari generali";"17,3";"*";"*";"*";"*";"*";"18,6";"*";"37,5";"13,1";"25,0";"10,8";"14,3";"20,0";"16,2";"*";"*";"*";"22,0"
"sistemi informativi, EDP";"3,6";"*";"*";"*";"*";"*";"4,0";"*";"6,3";"2,4";"-";"1,8";"4,8";"-";"4,0";"*";"*";"*";"4,9"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"67,8";"*";"*";"*";"*";"*";"70,8";"*";"68,8";"63,1";"100,0";"65,8";"66,7";"20,0";"71,7";"*";"*";"*";"68,3"
"possibilità di carriera";"55,3";"*";"*";"*";"*";"*";"60,6";"*";"81,3";"56,8";"50,0";"37,8";"61,9";"-";"59,6";"*";"*";"*";"53,7"
"possibilità di guadagno";"44,4";"*";"*";"*";"*";"*";"42,7";"*";"56,3";"49,0";"50,0";"35,1";"57,1";"20,0";"51,5";"*";"*";"*";"39,0"
"stabilità/sicurezza del posto di lavoro";"56,3";"*";"*";"*";"*";"*";"50,0";"*";"68,8";"53,9";"75,0";"61,3";"71,4";"40,0";"67,7";"*";"*";"*";"54,9"
"rispondenza a interessi culturali";"44,2";"*";"*";"*";"*";"*";"48,9";"*";"37,5";"42,7";"25,0";"38,7";"23,8";"60,0";"43,4";"*";"*";"*";"51,2"
"coerenza con gli studi";"38,0";"*";"*";"*";"*";"*";"42,3";"*";"25,0";"32,0";"25,0";"48,6";"33,3";"40,0";"39,4";"*";"*";"*";"30,5"
"utilità sociale del lavoro";"47,2";"*";"*";"*";"*";"*";"41,2";"*";"31,3";"40,8";"87,5";"70,3";"33,3";"40,0";"45,5";"*";"*";"*";"61,0"
"prestigio che ricevi dal lavoro";"26,2";"*";"*";"*";"*";"*";"28,5";"*";"37,5";"25,2";"12,5";"24,3";"33,3";"-";"24,2";"*";"*";"*";"28,0"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"44,7";"*";"*";"*";"*";"*";"45,6";"*";"50,0";"46,6";"62,5";"38,7";"38,1";"-";"47,5";"*";"*";"*";"46,3"
"indipendenza o autonomia";"46,8";"*";"*";"*";"*";"*";"45,3";"*";"37,5";"41,7";"50,0";"50,5";"38,1";"80,0";"54,5";"*";"*";"*";"53,7"
"flessibilità dell’orario di lavoro";"22,2";"*";"*";"*";"*";"*";"15,3";"*";"31,3";"17,0";"62,5";"33,3";"28,6";"40,0";"28,3";"*";"*";"*";"23,2"
"rapporti con i colleghi sul luogo di lavoro";"43,1";"*";"*";"*";"*";"*";"35,0";"*";"43,8";"38,8";"62,5";"58,6";"52,4";"20,0";"52,5";"*";"*";"*";"45,1"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"30,0";"*";"*";"*";"*";"*";"23,7";"*";"37,5";"30,1";"62,5";"36,0";"28,6";"-";"34,3";"*";"*";"*";"35,4"
"tempo libero";"24,9";"*";"*";"*";"*";"*";"16,8";"*";"37,5";"25,7";"25,0";"30,6";"28,6";"40,0";"32,3";"*";"*";"*";"28,0"
"opportunità di contatti con l'estero";"50,4";"*";"*";"*";"*";"*";"69,0";"*";"31,3";"54,4";"25,0";"19,8";"14,3";"-";"38,4";"*";"*";"*";"62,2"
"possibilità di utilizzare al meglio le competenze acquisite";"46,9";"*";"*";"*";"*";"*";"53,3";"*";"25,0";"43,7";"50,0";"46,8";"28,6";"20,0";"47,5";"*";"*";"*";"48,8"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"49,6";"*";"*";"*";"*";"*";"48,5";"*";"43,8";"46,1";"25,0";"62,2";"66,7";"40,0";"49,5";"*";"*";"*";"42,7"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"42,1";"*";"*";"*";"*";"*";"43,1";"*";"37,5";"38,8";"25,0";"45,0";"33,3";"100,0";"38,4";"*";"*";"*";"50,0"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"86,7";"*";"*";"*";"*";"*";"90,5";"*";"81,3";"86,4";"87,5";"86,5";"76,2";"40,0";"84,8";"*";"*";"*";"81,7"
"part-time";"45,5";"*";"*";"*";"*";"*";"39,8";"*";"43,8";"41,7";"50,0";"67,6";"38,1";"80,0";"44,4";"*";"*";"*";"42,7"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"85,0";"*";"*";"*";"*";"*";"86,5";"*";"75,0";"80,6";"75,0";"90,1";"85,7";"60,0";"88,9";"*";"*";"*";"80,5"
"tempo determinato";"35,2";"*";"*";"*";"*";"*";"33,6";"*";"31,3";"33,0";"37,5";"48,6";"28,6";"60,0";"31,3";"*";"*";"*";"32,9"
"collaborazione (compreso lavoro a progetto)";"23,8";"*";"*";"*";"*";"*";"25,9";"*";"-";"22,3";"12,5";"26,1";"14,3";"40,0";"23,2";"*";"*";"*";"26,8"
"inserimento (ex formazione e lavoro)";"23,2";"*";"*";"*";"*";"*";"23,4";"*";"6,3";"25,2";"12,5";"24,3";"14,3";"20,0";"20,2";"*";"*";"*";"28,0"
"stage";"25,0";"*";"*";"*";"*";"*";"33,6";"*";"6,3";"28,2";"12,5";"15,3";"14,3";"20,0";"18,2";"*";"*";"*";"22,0"
"apprendistato";"21,0";"*";"*";"*";"*";"*";"22,6";"*";"6,3";"22,8";"12,5";"21,6";"19,0";"20,0";"16,2";"*";"*";"*";"20,7"
"lavoro interinale";"15,5";"*";"*";"*";"*";"*";"19,3";"*";"-";"15,0";"12,5";"14,4";"9,5";"20,0";"13,1";"*";"*";"*";"13,4"
"telelavoro";"7,8";"*";"*";"*";"*";"*";"8,4";"*";"-";"7,8";"12,5";"4,5";"9,5";"-";"10,1";"*";"*";"*";"9,8"
"autonomo/in conto proprio";"33,1";"*";"*";"*";"*";"*";"33,2";"*";"25,0";"30,1";"25,0";"34,2";"33,3";"60,0";"36,4";"*";"*";"*";"36,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"54,6";"*";"*";"*";"*";"*";"41,6";"*";"43,8";"54,4";"75,0";"70,3";"66,7";"60,0";"64,6";"*";"*";"*";"56,1"
"provincia degli studi";"50,0";"*";"*";"*";"*";"*";"39,8";"*";"37,5";"57,8";"25,0";"59,5";"52,4";"20,0";"51,5";"*";"*";"*";"54,9"
"regione degli studi";"46,0";"*";"*";"*";"*";"*";"41,2";"*";"31,3";"48,5";"37,5";"45,0";"57,1";"40,0";"49,5";"*";"*";"*";"53,7"
"Italia settentrionale";"47,2";"*";"*";"*";"*";"*";"44,5";"*";"56,3";"53,9";"75,0";"36,0";"38,1";"-";"48,5";"*";"*";"*";"54,9"
"Italia centrale";"32,8";"*";"*";"*";"*";"*";"33,2";"*";"43,8";"36,9";"12,5";"24,3";"14,3";"-";"36,4";"*";"*";"*";"36,6"
"Italia meridionale";"21,1";"*";"*";"*";"*";"*";"21,9";"*";"18,8";"19,4";"12,5";"17,1";"9,5";"-";"24,2";"*";"*";"*";"31,7"
"Stato europeo";"58,1";"*";"*";"*";"*";"*";"77,4";"*";"56,3";"58,7";"-";"29,7";"33,3";"-";"45,5";"*";"*";"*";"67,1"
"Stato extraeuropeo";"48,7";"*";"*";"*";"*";"*";"67,9";"*";"31,3";"47,1";"-";"23,4";"19,0";"-";"36,4";"*";"*";"*";"61,0"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"54,5";"*";"*";"*";"*";"*";"67,5";"*";"68,8";"51,0";"25,0";"38,7";"47,6";"20,0";"41,4";"*";"*";"*";"64,6"
"sì, anche frequenti (senza cambi di residenza)";"24,6";"*";"*";"*";"*";"*";"18,6";"*";"18,8";"30,6";"37,5";"26,1";"19,0";"20,0";"26,3";"*";"*";"*";"26,8"
"sì, ma solo in numero limitato";"17,2";"*";"*";"*";"*";"*";"10,9";"*";"12,5";"16,0";"25,0";"29,7";"28,6";"40,0";"26,3";"*";"*";"*";"6,1"
"non disponibili a trasferte";"2,0";"*";"*";"*";"*";"*";"1,1";"*";"-";"0,5";"12,5";"4,5";"4,8";"20,0";"3,0";"*";"*";"*";"1,2"
