"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"48,7";"47,8";"*";"46,8";"45,7";"*";"59,4";"37,7";"25,0";"*"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"82,4";"89,9";"*";"80,9";"91,4";"*";"76,1";"83,6";"81,3";"*"
"part-time";"56,7";"68,1";"*";"44,7";"51,4";"*";"55,1";"57,4";"56,3";"*"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"90,9";"91,3";"*";"89,4";"91,4";"*";"86,2";"98,4";"100,0";"*"
"tempo determinato";"38,0";"33,3";"*";"36,2";"31,4";"*";"41,3";"34,4";"56,3";"*"
"collaborazione (compreso lavoro a progetto)";"21,1";"20,3";"*";"23,4";"14,3";"*";"23,9";"21,3";"-";"*"
"inserimento (ex formazione e lavoro)";"17,6";"17,4";"*";"21,3";"17,1";"*";"19,6";"13,1";"-";"*"
"stage";"14,2";"15,9";"*";"14,9";"20,0";"*";"12,3";"16,4";"-";"*"
"apprendistato";"10,7";"13,0";"*";"12,8";"14,3";"*";"8,7";"13,1";"-";"*"
"lavoro interinale";"9,6";"11,6";"*";"12,8";"5,7";"*";"8,7";"13,1";"-";"*"
"telelavoro";"7,0";"8,7";"*";"4,3";"5,7";"*";"6,5";"11,5";"-";"*"
"autonomo/in conto proprio";"37,2";"46,4";"*";"31,9";"20,0";"*";"39,9";"34,4";"37,5";"*"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"79,7";"82,6";"*";"55,3";"77,1";"*";"84,1";"82,0";"87,5";"*"
"provincia degli studi";"66,8";"65,2";"*";"61,7";"57,1";"*";"72,5";"63,9";"68,8";"*"
"regione degli studi";"53,2";"50,7";"*";"53,2";"45,7";"*";"56,5";"54,1";"50,0";"*"
"Italia settentrionale";"48,7";"39,1";"*";"55,3";"34,3";"*";"49,3";"57,4";"56,3";"*"
"Italia centrale";"32,4";"33,3";"*";"27,7";"34,3";"*";"29,0";"42,6";"18,8";"*"
"Italia meridionale";"19,8";"11,6";"*";"19,1";"20,0";"*";"20,3";"26,2";"25,0";"*"
"Stato europeo";"44,7";"44,9";"*";"74,5";"28,6";"*";"39,1";"41,0";"43,8";"*"
"Stato extraeuropeo";"35,6";"31,9";"*";"63,8";"20,0";"*";"34,1";"32,8";"31,3";"*"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"40,9";"39,1";"*";"63,8";"37,1";"*";"34,8";"44,3";"31,3";"*"
"sì, anche frequenti (senza cambi di residenza)";"29,4";"27,5";"*";"23,4";"34,3";"*";"34,1";"19,7";"31,3";"*"
"sì, ma solo in numero limitato";"25,7";"30,4";"*";"12,8";"28,6";"*";"26,1";"29,5";"25,0";"*"
"non disponibili a trasferte";"2,9";"1,4";"*";"-";"-";"*";"4,3";"3,3";"12,5";"*"
