"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"iniziativa personale";"2,9";"3,9";"-";"5,5";"-";"*";"-";"*";"*";"2,1";"25,0";"*";"-";"2,5";"*";"*";"*";"-";"-";"*";"*";"-";"-";"6,1";"1,7";"-";"5,3";"1,1";"*"
"non hanno compiuto studi all'estero";"81,8";"43,7";"100,0";"77,5";"100,0";"*";"89,6";"*";"*";"93,8";"75,0";"*";"100,0";"92,1";"*";"*";"*";"100,0";"80,0";"*";"*";"85,7";"100,0";"75,6";"82,4";"93,9";"74,8";"75,6";"*"
"1 o più esami all'estero convalidati (%)";"14,1";"52,4";"-";"14,8";"-";"*";"9,6";"*";"*";"2,1";"-";"*";"-";"3,7";"*";"*";"*";"-";"-";"*";"*";"14,3";"-";"18,3";"15,3";"6,1";"19,1";"22,2";"*"
"Hanno preparato all'estero una parte significativa della tesi (%)";"3,9";"24,3";"7,7";"2,2";"-";"*";"2,2";"*";"*";"0,7";"25,0";"*";"-";"1,2";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"1,7";"3,0";"2,3";"10,0";"*"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"48,8";"29,1";"7,7";"10,4";"100,0";"*";"94,8";"*";"*";"92,5";"75,0";"*";"83,3";"92,1";"*";"*";"*";"80,0";"100,0";"*";"*";"85,7";"83,3";"2,4";"9,7";"54,5";"32,8";"21,1";"*"
"tirocini organizzati dal corso e svolti presso l'università";"0,6";"-";"-";"-";"-";"*";"-";"*";"*";"1,4";"-";"*";"-";"0,4";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"0,6";"-";"0,8";"2,2";"*"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"38,3";"15,5";"-";"6,6";"50,0";"*";"74,8";"*";"*";"81,5";"25,0";"*";"66,7";"78,5";"*";"*";"*";"40,0";"-";"*";"*";"57,1";"66,7";"1,2";"5,7";"51,5";"26,7";"13,3";"*"
"attività di lavoro successivamente riconosciute dal corso";"8,8";"13,6";"7,7";"3,3";"50,0";"*";"15,6";"*";"*";"6,8";"25,0";"*";"16,7";"11,2";"*";"*";"*";"40,0";"100,0";"*";"*";"28,6";"16,7";"1,2";"3,4";"3,0";"5,3";"5,6";"*"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"49,7";"69,9";"92,3";"86,8";"-";"*";"5,2";"*";"*";"6,8";"25,0";"*";"16,7";"7,9";"*";"*";"*";"20,0";"-";"*";"*";"14,3";"16,7";"95,1";"86,9";"45,5";"66,4";"74,4";"*"
"Mesi impiegati per la tesi/prova finale (medie)";"1,9";"1,7";"2,1";"1,4";"2,8";"*";"2,8";"*";"*";"1,7";"2,3";"*";"3,3";"2,0";"*";"*";"*";"2,0";"2,0";"*";"*";"1,7";"1,8";"1,6";"1,5";"1,9";"1,7";"2,2";"*"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Hanno esperienze di lavoro (%) ";"73,2";"55,3";"76,9";"66,5";"100,0";"*";"85,2";"*";"*";"83,6";"100,0";"*";"100,0";"73,1";"*";"*";"*";"100,0";"100,0";"*";"*";"100,0";"100,0";"70,7";"67,6";"81,8";"72,5";"65,6";"*"
"lavoratori-studenti";"7,1";"2,9";"7,7";"2,7";"25,0";"*";"4,4";"*";"*";"5,5";"25,0";"*";"66,7";"9,9";"*";"*";"*";"40,0";"80,0";"*";"*";"-";"50,0";"2,4";"3,4";"6,1";"7,6";"4,4";"*"
"altre esperienze di lavoro con continuità a tempo pieno";"6,7";"8,7";"15,4";"1,6";"25,0";"*";"12,6";"*";"*";"9,6";"75,0";"*";"-";"7,0";"*";"*";"*";"-";"-";"*";"*";"-";"-";"4,9";"3,4";"15,2";"6,1";"4,4";"*"
"lavoro a tempo parziale";"19,7";"11,7";"23,1";"18,1";"50,0";"*";"26,7";"*";"*";"20,5";"-";"*";"16,7";"17,4";"*";"*";"*";"20,0";"20,0";"*";"*";"100,0";"50,0";"18,3";"19,3";"18,2";"21,4";"15,6";"*"
"lavoro occasionale, saltuario, stagionale";"39,6";"32,0";"30,8";"44,0";"-";"*";"41,5";"*";"*";"47,9";"-";"*";"16,7";"38,8";"*";"*";"*";"40,0";"-";"*";"*";"-";"-";"45,1";"41,5";"42,4";"37,4";"41,1";"*"
"nessuna esperienza di lavoro";"26,6";"44,7";"23,1";"33,5";"-";"*";"14,8";"*";"*";"16,4";"-";"*";"-";"26,4";"*";"*";"*";"-";"-";"*";"*";"-";"-";"29,3";"31,8";"18,2";"26,7";"34,4";"*"
"lavoro coerente con gli studi";"14,2";"11,7";"30,8";"9,3";"25,0";"*";"28,9";"*";"*";"9,6";"25,0";"*";"66,7";"19,4";"*";"*";"*";"40,0";"40,0";"*";"*";"-";"50,0";"6,1";"8,5";"-";"12,2";"3,3";"*"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"31,1";"23,3";"30,8";"19,8";"50,0";"*";"21,5";"*";"*";"34,9";"25,0";"*";"33,3";"33,1";"*";"*";"*";"40,0";"60,0";"*";"*";"42,9";"16,7";"23,2";"29,0";"48,5";"36,6";"57,8";"*"
"più sì che no";"57,6";"66,0";"46,2";"66,5";"50,0";"*";"60,7";"*";"*";"57,5";"50,0";"*";"50,0";"57,4";"*";"*";"*";"20,0";"40,0";"*";"*";"42,9";"50,0";"62,2";"57,4";"45,5";"57,3";"37,8";"*"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"15,4";"7,8";"15,4";"12,1";"25,0";"*";"11,9";"*";"*";"17,8";"-";"*";"33,3";"14,0";"*";"*";"*";"20,0";"60,0";"*";"*";"14,3";"-";"17,1";"12,5";"24,2";"13,0";"33,3";"*"
"più sì che no";"66,5";"65,0";"69,2";"62,1";"75,0";"*";"65,9";"*";"*";"67,8";"50,0";"*";"50,0";"70,2";"*";"*";"*";"60,0";"20,0";"*";"*";"85,7";"66,7";"69,5";"66,5";"69,7";"72,5";"58,9";"*"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente sì";"47,9";"58,3";"30,8";"46,2";"75,0";"*";"49,6";"*";"*";"52,7";"25,0";"*";"33,3";"51,7";"*";"*";"*";"40,0";"60,0";"*";"*";"71,4";"50,0";"35,4";"43,8";"54,5";"41,2";"46,7";"*"
"più sì che no";"43,4";"31,1";"69,2";"44,5";"25,0";"*";"43,0";"*";"*";"39,7";"50,0";"*";"66,7";"40,9";"*";"*";"*";"60,0";"40,0";"*";"*";"28,6";"50,0";"51,2";"47,7";"33,3";"51,9";"41,1";"*"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sempre o quasi sempre adeguate";"30,3";"50,5";"46,2";"31,9";"75,0";"*";"21,5";"*";"*";"18,5";"-";"*";"33,3";"35,1";"*";"*";"*";"40,0";"80,0";"*";"*";"42,9";"16,7";"18,3";"19,3";"30,3";"40,5";"33,3";"*"
"spesso adeguate";"59,2";"44,7";"30,8";"60,4";"25,0";"*";"61,5";"*";"*";"67,1";"100,0";"*";"66,7";"58,7";"*";"*";"*";"60,0";"-";"*";"*";"57,1";"66,7";"62,2";"64,2";"69,7";"54,2";"56,7";"*"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"erano presenti e in numero adeguato";"56,7";"75,7";"53,8";"50,5";"100,0";"*";"72,6";"*";"*";"70,5";"75,0";"*";"33,3";"57,9";"*";"*";"*";"60,0";"60,0";"*";"*";"57,1";"16,7";"22,0";"48,3";"90,9";"36,6";"62,2";"*"
"erano presenti, ma in numero inadeguato";"32,1";"23,3";"30,8";"30,8";"-";"*";"25,9";"*";"*";"16,4";"-";"*";"50,0";"31,4";"*";"*";"*";"20,0";"-";"*";"*";"28,6";"16,7";"17,1";"47,7";"9,1";"61,8";"37,8";"*"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente positiva";"32,9";"23,3";"38,5";"18,7";"100,0";"*";"53,3";"*";"*";"48,6";"25,0";"*";"33,3";"26,0";"*";"*";"*";"40,0";"60,0";"*";"*";"57,1";"16,7";"32,9";"35,8";"45,5";"21,4";"37,8";"*"
"abbastanza positiva";"47,7";"50,5";"38,5";"57,7";"-";"*";"42,2";"*";"*";"35,6";"75,0";"*";"16,7";"48,3";"*";"*";"*";"60,0";"20,0";"*";"*";"42,9";"50,0";"48,8";"50,6";"42,4";"47,3";"50,0";"*"
"Valutazione del carico di studio degli insegnamenti rispetto alla durata del corso (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"decisamente adeguato";"32,7";"36,9";"7,7";"26,9";"25,0";"*";"28,1";"*";"*";"34,2";"-";"*";"50,0";"30,2";"*";"*";"*";"60,0";"60,0";"*";"*";"14,3";"-";"30,5";"29,5";"57,6";"36,6";"46,7";"*"
"abbastanza adeguato";"51,5";"49,5";"38,5";"58,8";"25,0";"*";"53,3";"*";"*";"43,8";"100,0";"*";"50,0";"54,5";"*";"*";"*";"20,0";"40,0";"*";"*";"42,9";"50,0";"53,7";"54,5";"42,4";"54,2";"40,0";"*"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, allo stesso corso dell'Ateneo";"67,0";"68,9";"53,8";"67,0";"50,0";"*";"57,0";"*";"*";"77,4";"75,0";"*";"50,0";"66,1";"*";"*";"*";"40,0";"60,0";"*";"*";"28,6";"33,3";"45,1";"68,2";"78,8";"74,8";"78,9";"*"
"sì, ma ad un altro corso dell'Ateneo";"20,0";"12,6";"30,8";"22,0";"25,0";"*";"23,7";"*";"*";"11,6";"-";"*";"50,0";"20,7";"*";"*";"*";"20,0";"20,0";"*";"*";"57,1";"33,3";"40,2";"16,5";"18,2";"17,6";"15,6";"*"
"sì, allo stesso corso ma in un altro Ateneo";"5,2";"10,7";"7,7";"4,9";"-";"*";"1,5";"*";"*";"3,4";"-";"*";"-";"6,6";"*";"*";"*";"-";"20,0";"*";"*";"-";"16,7";"2,4";"10,2";"3,0";"1,5";"2,2";"*"
"sì, ma ad un altro corso e in un altro Ateneo";"5,3";"7,8";"-";"3,8";"-";"*";"11,9";"*";"*";"4,8";"25,0";"*";"-";"5,0";"*";"*";"*";"20,0";"-";"*";"*";"-";"16,7";"6,1";"3,4";"-";"4,6";"2,2";"*"
"non si iscriverebbero più all'università";"2,0";"-";"7,7";"2,2";"25,0";"*";"4,4";"*";"*";"0,7";"-";"*";"-";"1,2";"*";"*";"*";"20,0";"-";"*";"*";"14,3";"-";"6,1";"1,1";"-";"1,5";"1,1";"*"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"inglese scritto";"80,3";"99,0";"84,6";"80,8";"75,0";"*";"80,0";"*";"*";"74,0";"50,0";"*";"83,3";"72,3";"*";"*";"*";"100,0";"40,0";"*";"*";"57,1";"100,0";"78,0";"82,4";"75,8";"93,9";"74,4";"*"
"inglese parlato";"73,4";"97,1";"61,5";"75,3";"75,0";"*";"74,1";"*";"*";"65,8";"50,0";"*";"66,7";"66,5";"*";"*";"*";"60,0";"40,0";"*";"*";"57,1";"83,3";"75,6";"76,7";"63,6";"82,4";"65,6";"*"
"francese scritto";"16,2";"18,4";"38,5";"16,5";"75,0";"*";"28,9";"*";"*";"17,8";"-";"*";"16,7";"16,1";"*";"*";"*";"20,0";"-";"*";"*";"-";"66,7";"18,3";"8,5";"9,1";"12,2";"5,6";"*"
"francese parlato";"16,9";"20,4";"30,8";"16,5";"50,0";"*";"27,4";"*";"*";"19,9";"-";"*";"33,3";"16,9";"*";"*";"*";"20,0";"-";"*";"*";"-";"66,7";"19,5";"11,4";"6,1";"13,0";"6,7";"*"
"spagnolo scritto";"17,2";"35,0";"23,1";"13,2";"-";"*";"32,6";"*";"*";"10,3";"25,0";"*";"33,3";"16,5";"*";"*";"*";"40,0";"-";"*";"*";"-";"-";"24,4";"10,2";"6,1";"12,2";"14,4";"*"
"spagnolo parlato";"19,0";"38,8";"23,1";"15,9";"25,0";"*";"34,8";"*";"*";"11,0";"25,0";"*";"33,3";"16,5";"*";"*";"*";"40,0";"-";"*";"*";"-";"-";"24,4";"14,2";"9,1";"15,3";"12,2";"*"
"tedesco scritto";"3,4";"6,8";"-";"2,7";"-";"*";"8,1";"*";"*";"2,1";"-";"*";"-";"1,2";"*";"*";"*";"-";"-";"*";"*";"-";"-";"3,7";"4,0";"-";"3,1";"5,6";"*"
"tedesco parlato";"3,2";"5,8";"-";"2,2";"-";"*";"7,4";"*";"*";"2,1";"-";"*";"-";"1,2";"*";"*";"*";"-";"-";"*";"*";"-";"-";"4,9";"3,4";"-";"2,3";"5,6";"*"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"navigazione in Internet e comunicazione in rete";"91,5";"95,1";"100,0";"89,0";"100,0";"*";"91,9";"*";"*";"95,9";"75,0";"*";"100,0";"92,1";"*";"*";"*";"100,0";"80,0";"*";"*";"100,0";"100,0";"85,4";"90,9";"97,0";"90,1";"87,8";"*"
"word processor";"82,6";"87,4";"69,2";"72,5";"100,0";"*";"90,4";"*";"*";"87,0";"100,0";"*";"100,0";"85,1";"*";"*";"*";"60,0";"80,0";"*";"*";"100,0";"100,0";"72,0";"81,3";"87,9";"84,0";"81,1";"*"
"fogli elettronici";"75,4";"85,4";"76,9";"64,8";"100,0";"*";"80,7";"*";"*";"84,2";"75,0";"*";"100,0";"80,2";"*";"*";"*";"80,0";"80,0";"*";"*";"100,0";"100,0";"52,4";"68,8";"97,0";"69,5";"76,7";"*"
"strumenti di presentazione";"65,5";"76,7";"61,5";"70,9";"50,0";"*";"69,6";"*";"*";"63,0";"25,0";"*";"33,3";"67,4";"*";"*";"*";"60,0";"40,0";"*";"*";"42,9";"66,7";"39,0";"67,6";"72,7";"70,2";"60,0";"*"
"sistemi operativi";"73,7";"81,6";"92,3";"67,6";"100,0";"*";"75,6";"*";"*";"76,7";"75,0";"*";"83,3";"76,9";"*";"*";"*";"60,0";"80,0";"*";"*";"71,4";"83,3";"64,6";"75,6";"72,7";"71,8";"67,8";"*"
"multimedia";"36,3";"36,9";"38,5";"31,9";"-";"*";"45,9";"*";"*";"45,2";"-";"*";"16,7";"39,3";"*";"*";"*";"20,0";"20,0";"*";"*";"14,3";"16,7";"26,8";"40,3";"21,2";"36,6";"25,6";"*"
"linguaggi di programmazione";"10,3";"3,9";"-";"4,9";"25,0";"*";"11,9";"*";"*";"11,0";"-";"*";"50,0";"9,9";"*";"*";"*";"-";"20,0";"*";"*";"14,3";"16,7";"7,3";"9,7";"15,2";"7,6";"28,9";"*"
"data base";"20,6";"23,3";"7,7";"14,8";"50,0";"*";"33,3";"*";"*";"43,8";"-";"*";"16,7";"13,6";"*";"*";"*";"-";"-";"*";"*";"14,3";"33,3";"9,8";"11,9";"27,3";"14,5";"27,8";"*"
"realizzazione siti web";"9,8";"6,8";"-";"7,7";"-";"*";"7,4";"*";"*";"15,1";"-";"*";"16,7";"14,5";"*";"*";"*";"-";"20,0";"*";"*";"14,3";"16,7";"8,5";"12,5";"6,1";"4,6";"7,8";"*"
"reti di trasmissione dati";"8,0";"4,9";"-";"5,5";"-";"*";"9,6";"*";"*";"12,3";"-";"*";"16,7";"9,5";"*";"*";"*";"-";"-";"*";"*";"28,6";"16,7";"7,3";"8,5";"12,1";"5,3";"3,3";"*"
"CAD/CAM/CAE - progettazione assistita";"5,0";"1,9";"-";"3,8";"25,0";"*";"9,6";"*";"*";"4,8";"-";"*";"-";"4,5";"*";"*";"*";"20,0";"20,0";"*";"*";"-";"16,7";"3,7";"6,3";"3,0";"3,1";"5,6";"*"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Intendono proseguire gli studi (%)";"73,4";"91,3";"23,1";"81,9";"25,0";"*";"48,1";"*";"*";"64,4";"50,0";"*";"16,7";"68,2";"*";"*";"*";"20,0";"60,0";"*";"*";"42,9";"66,7";"75,6";"85,2";"57,6";"88,5";"86,7";"*"
"altra laurea triennale";"0,6";"1,0";"-";"-";"-";"*";"0,7";"*";"*";"0,7";"-";"*";"-";"0,4";"*";"*";"*";"-";"20,0";"*";"*";"-";"-";"-";"1,1";"-";"-";"1,1";"*"
"laurea magistrale";"60,7";"58,3";"7,7";"74,2";"25,0";"*";"29,6";"*";"*";"55,5";"50,0";"*";"16,7";"59,9";"*";"*";"*";"-";"20,0";"*";"*";"42,9";"33,3";"67,1";"72,2";"51,5";"77,9";"76,7";"*"
"dottorato di ricerca";"-";"-";"-";"-";"-";"*";"-";"*";"*";"-";"-";"*";"-";"-";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"-";"-";"-";"-";"-";"*";"-";"*";"*";"-";"-";"*";"-";"-";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*"
"scuola di specializzazione post-laurea";"1,1";"1,0";"-";"2,2";"-";"*";"3,0";"*";"*";"0,7";"-";"*";"-";"0,8";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"-";"0,6";"-";"-";"1,1";"*"
"master universitario";"7,2";"24,3";"7,7";"4,9";"-";"*";"8,1";"*";"*";"4,8";"-";"*";"-";"3,3";"*";"*";"*";"-";"20,0";"*";"*";"-";"-";"3,7";"8,0";"3,0";"8,4";"4,4";"*"
"altro tipo di master o corso di perfezionamento";"1,5";"2,9";"7,7";"-";"-";"*";"3,7";"*";"*";"0,7";"-";"*";"-";"0,8";"*";"*";"*";"-";"-";"*";"*";"-";"-";"3,7";"1,1";"-";"0,8";"1,1";"*"
"tirocinio, praticantato";"0,9";"2,9";"-";"-";"-";"*";"1,5";"*";"*";"-";"-";"*";"-";"1,2";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"-";"1,7";"3,0";"-";"-";"*"
"attività sostenuta da borsa o assegno di studio";"0,1";"1,0";"-";"-";"-";"*";"-";"*";"*";"-";"-";"*";"-";"-";"*";"*";"*";"-";"-";"*";"*";"-";"-";"-";"-";"-";"-";"-";"*"
"altre attività di qualificazione professionale";"0,9";"-";"-";"-";"-";"*";"0,7";"*";"*";"2,1";"-";"*";"-";"1,7";"*";"*";"*";"20,0";"-";"*";"*";"-";"-";"1,2";"-";"-";"0,8";"1,1";"*"
"non intendono proseguire";"26,5";"8,7";"76,9";"18,1";"75,0";"*";"51,9";"*";"*";"35,6";"50,0";"*";"83,3";"31,8";"*";"*";"*";"80,0";"40,0";"*";"*";"57,1";"33,3";"24,4";"13,6";"42,4";"11,5";"13,3";"*"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"23,0";"20,4";"30,8";"19,2";"25,0";"*";"27,4";"*";"*";"32,2";"25,0";"*";"50,0";"28,9";"*";"*";"*";"20,0";"40,0";"*";"*";"28,6";"16,7";"28,0";"15,3";"15,2";"20,6";"11,1";"*"
"amministrazione, contabilità";"40,3";"18,4";"53,8";"46,7";"75,0";"*";"36,3";"*";"*";"61,0";"25,0";"*";"66,7";"53,3";"*";"*";"*";"40,0";"-";"*";"*";"85,7";"33,3";"39,0";"33,5";"36,4";"20,6";"27,8";"*"
"assistenza tecnica";"7,1";"-";"7,7";"3,8";"25,0";"*";"12,6";"*";"*";"11,6";"-";"*";"16,7";"8,3";"*";"*";"*";"40,0";"-";"*";"*";"-";"16,7";"8,5";"7,4";"6,1";"2,3";"4,4";"*"
"commerciale, vendite";"34,7";"27,2";"53,8";"29,7";"50,0";"*";"45,9";"*";"*";"48,6";"50,0";"*";"66,7";"41,7";"*";"*";"*";"40,0";"40,0";"*";"*";"42,9";"16,7";"40,2";"19,3";"21,2";"36,6";"17,8";"*"
