"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"indipendenza o autonomia";"51,2";"*";"40,0";"53,6";"51,9";"50,8";"*";"*";"*";"66,7";"50,8"
"flessibilità dell’orario di lavoro";"27,3";"*";"40,0";"27,4";"37,0";"27,4";"*";"*";"*";"66,7";"24,2"
"rapporti con i colleghi sul luogo di lavoro";"53,3";"*";"60,0";"57,1";"59,3";"60,9";"*";"*";"*";"33,3";"40,3"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"33,5";"*";"60,0";"42,3";"40,7";"35,4";"*";"*";"*";"16,7";"23,3"
"tempo libero";"28,5";"*";"30,0";"28,6";"37,0";"29,5";"*";"*";"*";"33,3";"25,8"
"opportunità di contatti con l'estero";"22,6";"*";"-";"17,3";"25,9";"20,9";"*";"*";"*";"-";"29,7"
"possibilità di utilizzare al meglio le competenze acquisite";"51,9";"*";"60,0";"54,8";"63,0";"52,9";"*";"*";"*";"16,7";"48,7"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"55,1";"*";"70,0";"63,1";"59,3";"57,5";"*";"*";"*";"16,7";"47,0"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"47,4";"*";"50,0";"44,6";"48,1";"48,6";"*";"*";"*";"16,7";"48,3"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"82,8";"*";"100,0";"82,7";"70,4";"84,0";"*";"*";"*";"66,7";"82,6"
"part-time";"57,2";"*";"40,0";"64,9";"51,9";"55,4";"*";"*";"*";"33,3";"55,9"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"91,8";"*";"100,0";"95,2";"96,3";"91,1";"*";"*";"*";"50,0";"90,7"
"tempo determinato";"40,9";"*";"40,0";"35,7";"33,3";"43,4";"*";"*";"*";"33,3";"42,4"
"collaborazione (compreso lavoro a progetto)";"26,9";"*";"10,0";"16,1";"14,8";"26,2";"*";"*";"*";"33,3";"36,4"
"inserimento (ex formazione e lavoro)";"22,1";"*";"20,0";"16,7";"14,8";"20,0";"*";"*";"*";"16,7";"29,2"
"stage";"21,5";"*";"-";"13,7";"7,4";"20,0";"*";"*";"*";"33,3";"31,4"
"apprendistato";"20,9";"*";"-";"11,3";"7,4";"20,9";"*";"*";"*";"16,7";"30,1"
"lavoro interinale";"16,5";"*";"-";"9,5";"3,7";"16,9";"*";"*";"*";"16,7";"22,9"
"telelavoro";"8,6";"*";"-";"3,0";"7,4";"8,6";"*";"*";"*";"16,7";"11,9"
"autonomo/in conto proprio";"36,3";"*";"10,0";"28,6";"37,0";"26,8";"*";"*";"*";"66,7";"54,7"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"74,9";"*";"100,0";"82,1";"88,9";"76,0";"*";"*";"*";"83,3";"64,8"
"provincia degli studi";"52,1";"*";"80,0";"52,4";"66,7";"53,5";"*";"*";"*";"16,7";"47,9"
"regione degli studi";"42,3";"*";"70,0";"38,7";"40,7";"41,8";"*";"*";"*";"16,7";"45,3"
"Italia settentrionale";"38,3";"*";"40,0";"32,1";"22,2";"36,9";"*";"*";"*";"50,0";"45,3"
"Italia centrale";"26,0";"*";"10,0";"18,5";"22,2";"25,2";"*";"*";"*";"16,7";"33,9"
"Italia meridionale";"15,5";"*";"10,0";"10,7";"11,1";"16,0";"*";"*";"*";"16,7";"18,6"
"Stato europeo";"32,1";"*";"10,0";"23,2";"18,5";"27,4";"*";"*";"*";"16,7";"47,0"
"Stato extraeuropeo";"25,1";"*";"10,0";"14,9";"14,8";"22,8";"*";"*";"*";"16,7";"36,9"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"34,2";"*";"10,0";"22,0";"18,5";"32,0";"*";"*";"*";"16,7";"49,2"
"sì, anche frequenti (senza cambi di residenza)";"26,0";"*";"30,0";"23,8";"25,9";"25,2";"*";"*";"*";"50,0";"27,5"
"sì, ma solo in numero limitato";"30,4";"*";"50,0";"41,1";"40,7";"31,7";"*";"*";"*";"33,3";"19,9"
"non disponibili a trasferte";"8,1";"*";"10,0";"11,9";"14,8";"9,5";"*";"*";"*";"-";"2,1"
