"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"fogli elettronici";"59,4";"61,5";"*";"*";"69,0";"41,5";"20,0";"*";"57,9";"*";"63,4";"62,2";"59,3";"*";"61,9"
"strumenti di presentazione";"62,7";"76,9";"*";"*";"73,8";"56,1";"20,0";"*";"47,4";"*";"59,2";"82,2";"63,0";"*";"52,4"
"sistemi operativi";"62,7";"76,9";"*";"*";"73,8";"70,7";"20,0";"*";"39,5";"*";"66,2";"71,1";"59,3";"*";"47,6"
"multimedia";"31,2";"69,2";"*";"*";"35,7";"26,8";"40,0";"*";"7,9";"*";"33,8";"37,8";"29,6";"*";"23,8"
"linguaggi di programmazione";"6,2";"-";"*";"*";"9,5";"2,4";"-";"*";"7,9";"*";"9,9";"4,4";"7,4";"*";"-"
"data base";"8,1";"23,1";"*";"*";"7,1";"7,3";"-";"*";"2,6";"*";"12,7";"2,2";"14,8";"*";"-"
"realizzazione siti web";"5,5";"7,7";"*";"*";"11,9";"7,3";"-";"*";"2,6";"*";"5,6";"4,4";"-";"*";"-"
"reti di trasmissione dati";"6,2";"15,4";"*";"*";"9,5";"7,3";"-";"*";"5,3";"*";"5,6";"6,7";"3,7";"*";"-"
"CAD/CAM/CAE - progettazione assistita";"21,4";"23,1";"*";"*";"26,2";"2,4";"-";"*";"21,1";"*";"35,2";"6,7";"40,7";"*";"14,3"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Intendono proseguire gli studi (%)";"70,1";"69,2";"*";"*";"81,0";"82,9";"-";"*";"76,3";"*";"78,9";"60,0";"66,7";"*";"33,3"
"altra laurea triennale";"0,6";"-";"*";"*";"-";"4,9";"-";"*";"-";"*";"-";"-";"-";"*";"-"
"laurea magistrale";"59,4";"53,8";"*";"*";"69,0";"58,5";"-";"*";"76,3";"*";"76,1";"55,6";"40,7";"*";"14,3"
"dottorato di ricerca";"-";"-";"*";"*";"-";"-";"-";"*";"-";"*";"-";"-";"-";"*";"-"
"diploma accademico (Alta Formazione Artistica e Musicale) ";"-";"-";"*";"*";"-";"-";"-";"*";"-";"*";"-";"-";"-";"*";"-"
"scuola di specializzazione post-laurea";"2,6";"-";"*";"*";"2,4";"9,8";"-";"*";"-";"*";"1,4";"2,2";"3,7";"*";"-"
"master universitario";"1,6";"-";"*";"*";"4,8";"2,4";"-";"*";"-";"*";"1,4";"-";"-";"*";"-"
"altro tipo di master o corso di perfezionamento";"1,3";"-";"*";"*";"4,8";"-";"-";"*";"-";"*";"-";"-";"3,7";"*";"4,8"
"tirocinio, praticantato";"1,6";"-";"*";"*";"-";"4,9";"-";"*";"-";"*";"-";"2,2";"7,4";"*";"-"
"attività sostenuta da borsa o assegno di studio";"0,3";"-";"*";"*";"-";"2,4";"-";"*";"-";"*";"-";"-";"-";"*";"-"
"altre attività di qualificazione professionale";"2,3";"15,4";"*";"*";"-";"-";"-";"*";"-";"*";"-";"-";"7,4";"*";"14,3"
"non intendono proseguire";"29,5";"30,8";"*";"*";"19,0";"17,1";"100,0";"*";"21,1";"*";"21,1";"40,0";"33,3";"*";"66,7"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisti";"12,3";"15,4";"*";"*";"23,8";"9,8";"20,0";"*";"5,3";"*";"16,9";"8,9";"3,7";"*";"9,5"
"amministrazione, contabilità";"9,4";"7,7";"*";"*";"28,6";"12,2";"-";"*";"-";"*";"8,5";"2,2";"3,7";"*";"9,5"
"assistenza tecnica";"20,1";"15,4";"*";"*";"23,8";"22,0";"40,0";"*";"10,5";"*";"31,0";"6,7";"14,8";"*";"28,6"
"commerciale, vendite";"20,1";"38,5";"*";"*";"40,5";"9,8";"60,0";"*";"7,9";"*";"21,1";"15,6";"11,1";"*";"19,0"
"controllo di gestione";"24,7";"7,7";"*";"*";"38,1";"24,4";"-";"*";"13,2";"*";"28,2";"31,1";"14,8";"*";"14,3"
"finanza";"7,8";"7,7";"*";"*";"16,7";"7,3";"-";"*";"7,9";"*";"12,7";"2,2";"-";"*";"-"
"legale";"5,8";"7,7";"*";"*";"9,5";"9,8";"-";"*";"-";"*";"8,5";"6,7";"-";"*";"-"
"logistica, distribuzione";"12,7";"7,7";"*";"*";"26,2";"9,8";"20,0";"*";"5,3";"*";"15,5";"11,1";"7,4";"*";"9,5"
"marketing, comunicazione, pubbliche relazioni";"22,1";"15,4";"*";"*";"57,1";"14,6";"40,0";"*";"10,5";"*";"21,1";"13,3";"14,8";"*";"23,8"
"organizzazione, pianificazione";"29,2";"15,4";"*";"*";"57,1";"26,8";"40,0";"*";"21,1";"*";"29,6";"22,2";"18,5";"*";"23,8"
"produzione";"40,3";"23,1";"*";"*";"35,7";"41,5";"40,0";"*";"28,9";"*";"54,9";"35,6";"33,3";"*";"57,1"
"ricerca e sviluppo";"49,0";"38,5";"*";"*";"42,9";"48,8";"40,0";"*";"50,0";"*";"56,3";"62,2";"40,7";"*";"38,1"
"risorse umane, selezione, formazione";"19,5";"15,4";"*";"*";"11,9";"19,5";"20,0";"*";"18,4";"*";"18,3";"24,4";"22,2";"*";"23,8"
"segreteria, affari generali";"6,8";"15,4";"*";"*";"11,9";"2,4";"-";"*";"5,3";"*";"8,5";"2,2";"14,8";"*";"-"
"sistemi informativi, EDP";"6,8";"7,7";"*";"*";"9,5";"9,8";"-";"*";"7,9";"*";"7,0";"4,4";"3,7";"*";"4,8"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"acquisizione di professionalità";"75,3";"76,9";"*";"*";"71,4";"75,6";"100,0";"*";"65,8";"*";"80,3";"82,2";"85,2";"*";"52,4"
"possibilità di carriera";"58,8";"76,9";"*";"*";"66,7";"65,9";"80,0";"*";"34,2";"*";"63,4";"64,4";"55,6";"*";"42,9"
"possibilità di guadagno";"56,2";"69,2";"*";"*";"73,8";"65,9";"40,0";"*";"39,5";"*";"56,3";"51,1";"59,3";"*";"42,9"
"stabilità/sicurezza del posto di lavoro";"64,6";"84,6";"*";"*";"57,1";"68,3";"100,0";"*";"60,5";"*";"64,8";"77,8";"66,7";"*";"38,1"
"rispondenza a interessi culturali";"36,4";"30,8";"*";"*";"26,2";"39,0";"80,0";"*";"44,7";"*";"31,0";"35,6";"55,6";"*";"28,6"
"coerenza con gli studi";"51,0";"38,5";"*";"*";"28,6";"53,7";"80,0";"*";"55,3";"*";"56,3";"68,9";"44,4";"*";"33,3"
"utilità sociale del lavoro";"35,4";"30,8";"*";"*";"33,3";"41,5";"40,0";"*";"52,6";"*";"28,2";"28,9";"51,9";"*";"23,8"
"prestigio che ricevi dal lavoro";"24,4";"15,4";"*";"*";"23,8";"29,3";"80,0";"*";"13,2";"*";"29,6";"22,2";"25,9";"*";"19,0"
"coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"43,5";"38,5";"*";"*";"47,6";"51,2";"100,0";"*";"23,7";"*";"50,7";"35,6";"51,9";"*";"28,6"
"indipendenza o autonomia";"49,7";"69,2";"*";"*";"40,5";"46,3";"80,0";"*";"44,7";"*";"52,1";"53,3";"59,3";"*";"38,1"
"flessibilità dell’orario di lavoro";"26,6";"38,5";"*";"*";"28,6";"26,8";"40,0";"*";"18,4";"*";"23,9";"20,0";"44,4";"*";"28,6"
"rapporti con i colleghi sul luogo di lavoro";"49,4";"38,5";"*";"*";"52,4";"43,9";"80,0";"*";"47,4";"*";"50,7";"44,4";"63,0";"*";"47,6"
"luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"37,3";"38,5";"*";"*";"45,2";"31,7";"60,0";"*";"44,7";"*";"36,6";"28,9";"40,7";"*";"38,1"
"tempo libero";"31,2";"38,5";"*";"*";"28,6";"31,7";"80,0";"*";"36,8";"*";"22,5";"22,2";"59,3";"*";"28,6"
"opportunità di contatti con l'estero";"38,6";"46,2";"*";"*";"45,2";"43,9";"40,0";"*";"28,9";"*";"38,0";"37,8";"37,0";"*";"38,1"
"possibilità di utilizzare al meglio le competenze acquisite";"52,6";"61,5";"*";"*";"47,6";"56,1";"40,0";"*";"47,4";"*";"57,7";"55,6";"48,1";"*";"52,4"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"pubblico";"40,6";"38,5";"*";"*";"23,8";"51,2";"60,0";"*";"52,6";"*";"29,6";"48,9";"44,4";"*";"38,1"
"privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"61,7";"53,8";"*";"*";"69,0";"68,3";"40,0";"*";"36,8";"*";"69,0";"64,4";"63,0";"*";"61,9"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo pieno";"89,9";"92,3";"*";"*";"95,2";"95,1";"60,0";"*";"86,8";"*";"93,0";"95,6";"85,2";"*";"71,4"
"part-time";"44,2";"46,2";"*";"*";"33,3";"53,7";"60,0";"*";"42,1";"*";"35,2";"35,6";"70,4";"*";"52,4"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"tempo indeterminato";"87,3";"84,6";"*";"*";"88,1";"90,2";"100,0";"*";"89,5";"*";"90,1";"88,9";"85,2";"*";"66,7"
"tempo determinato";"34,7";"30,8";"*";"*";"40,5";"31,7";"20,0";"*";"18,4";"*";"36,6";"46,7";"44,4";"*";"23,8"
"collaborazione (compreso lavoro a progetto)";"29,9";"15,4";"*";"*";"26,2";"29,3";"20,0";"*";"21,1";"*";"29,6";"35,6";"48,1";"*";"33,3"
"inserimento (ex formazione e lavoro)";"27,3";"30,8";"*";"*";"21,4";"24,4";"20,0";"*";"26,3";"*";"32,4";"24,4";"29,6";"*";"33,3"
"stage";"24,0";"15,4";"*";"*";"28,6";"22,0";"-";"*";"18,4";"*";"29,6";"22,2";"33,3";"*";"14,3"
"apprendistato";"24,0";"23,1";"*";"*";"19,0";"19,5";"40,0";"*";"23,7";"*";"25,4";"26,7";"37,0";"*";"14,3"
"lavoro interinale";"16,6";"15,4";"*";"*";"19,0";"14,6";"-";"*";"15,8";"*";"15,5";"17,8";"18,5";"*";"19,0"
"telelavoro";"9,7";"15,4";"*";"*";"11,9";"7,3";"-";"*";"5,3";"*";"7,0";"11,1";"14,8";"*";"14,3"
"autonomo/in conto proprio";"46,8";"46,2";"*";"*";"45,2";"53,7";"20,0";"*";"36,8";"*";"54,9";"37,8";"55,6";"*";"47,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"79,9";"53,8";"*";"*";"88,1";"80,5";"60,0";"*";"78,9";"*";"81,7";"84,4";"77,8";"*";"66,7"
"provincia degli studi";"62,7";"53,8";"*";"*";"71,4";"65,9";"40,0";"*";"63,2";"*";"69,0";"62,2";"51,9";"*";"42,9"
"regione degli studi";"54,2";"46,2";"*";"*";"54,8";"61,0";"20,0";"*";"63,2";"*";"60,6";"51,1";"40,7";"*";"42,9"
"Italia settentrionale";"54,2";"61,5";"*";"*";"50,0";"56,1";"40,0";"*";"63,2";"*";"57,7";"44,4";"55,6";"*";"57,1"
"Italia centrale";"38,6";"38,5";"*";"*";"38,1";"41,5";"20,0";"*";"44,7";"*";"38,0";"28,9";"40,7";"*";"52,4"
"Italia meridionale";"30,8";"38,5";"*";"*";"35,7";"26,8";"20,0";"*";"39,5";"*";"26,8";"26,7";"29,6";"*";"38,1"
"Stato europeo";"45,8";"61,5";"*";"*";"52,4";"51,2";"20,0";"*";"36,8";"*";"40,8";"46,7";"48,1";"*";"52,4"
"Stato extraeuropeo";"38,0";"61,5";"*";"*";"42,9";"41,5";"40,0";"*";"31,6";"*";"31,0";"33,3";"44,4";"*";"47,6"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"44,5";"84,6";"*";"*";"45,2";"46,3";"40,0";"*";"36,8";"*";"32,4";"42,2";"48,1";"*";"66,7"
"sì, anche frequenti (senza cambi di residenza)";"31,8";"15,4";"*";"*";"31,0";"36,6";"-";"*";"36,8";"*";"36,6";"37,8";"29,6";"*";"14,3"
"sì, ma solo in numero limitato";"19,2";"-";"*";"*";"21,4";"12,2";"40,0";"*";"21,1";"*";"26,8";"11,1";"22,2";"*";"14,3"
"non disponibili a trasferte";"3,2";"-";"*";"*";"-";"2,4";"20,0";"*";"-";"*";"4,2";"8,9";"-";"*";"4,8"
